seq,exp,valence,arousal,dominance,liking,familiarity,participantID
31,19,6.9,5.1,4.8,9,1,07-9UAD
32,2,7.9,5.1,4.5,9,5,07-9UAD
33,20,7,4,6.5,9,5,07-9UAD
34,14,7,3,6.7,9,5,07-9UAD
35,34,5.5,5.7,4,5.9,1,07-9UAD
36,18,7.1,4.6,4.1,9,5,07-9UAD
37,21,5,3.1,4.5,2.7,1,07-9UAD
38,3,7.1,5,6,9,5,07-9UAD
1,30,2.8,1,6.7,8.9,4,08-9UB2
2,21,3,3,4.7,1,1,08-9UB2
3,10,5,3.1,6.8,1,1,08-9UB2
4,28,3.5,5,6.6,6.6,1,08-9UB2
5,12,7.1,3,6.7,9,1,08-9UB2
6,7,7,6.9,4.7,9,1,08-9UB2
7,39,5,1.1,6.8,1,1,08-9UB2
8,15,5,3,6.8,6.9,1,08-9UB2
9,6,6.9,5,6.7,7.3,1,08-9UB2
10,22,3,1.8,6.6,8.9,1,08-9UB2
11,23,2.2,6.8,4.6,2.7,1,08-9UB2
12,3,6.1,2.7,6.7,7,1,08-9UB2
13,26,5,2.2,9,2,1,08-9UB2
14,36,1.1,2.9,6.6,1,1,08-9UB2
15,31,2.1,1.9,7.7,1,1,08-9UB2
16,37,1,3.2,5.8,1,1,08-9UB2
17,14,4.2,1,6.8,3,1,08-9UB2
18,25,4.1,2.5,6.7,8,1,08-9UB2
19,38,3.1,1.5,6.8,1,1,08-9UB2
20,34,5,1,9,1,1,08-9UB2
21,27,6.5,3,6.7,9,1,08-9UB2
22,4,7.1,3.4,5.6,9,1,08-9UB2
23,33,5.1,6.7,6.9,1,1,08-9UB2
24,40,5,5,6.7,9,1,08-9UB2
25,11,7,3,5.7,9,1,08-9UB2
26,8,7,4.4,6.8,9,1,08-9UB2
27,20,7,6,8.6,9,1,08-9UB2
28,2,3,3,8.2,1,1,08-9UB2
29,18,5,1.7,8.9,5.9,1,08-9UB2
30,19,6.5,5,7.9,9,1,08-9UB2
31,32,5,2.4,8,1,1,08-9UB2
32,24,3.1,5,6.9,8,1,08-9UB2
33,1,5,3.7,9,8.6,1,08-9UB2
34,5,5,1,9,7.1,4,08-9UB2
35,29,5,1,9,7.3,1,08-9UB2
36,13,6.5,1.6,8.7,7.7,1,08-9UB2
37,17,5.8,1.5,9,6.9,1,08-9UB2
38,9,6.2,3.8,8.1,9,1,08-9UB2
1,26,7.5,3,5.4,8.9,4,09-9UDP
2,3,6.4,6.9,5,5.6,3,09-9UDP
3,20,8.5,7.2,6.6,9,5,09-9UDP
4,25,5.2,4.4,2.8,2.1,2,09-9UDP
5,7,3.8,5.1,4.9,4,2,09-9UDP
6,4,6.1,5.9,5.4,6.5,3,09-9UDP
7,10,2.1,6.2,5.8,1,2,09-9UDP
8,21,3,3.1,6,1,2,09-9UDP
9,36,1.4,6.4,6.2,1,2,09-9UDP
10,9,7.2,6.7,6.7,6.7,3,09-9UDP
11,15,5.1,4.8,5.1,5.1,2,09-9UDP
12,29,4.2,5.9,6.4,6.9,3,09-9UDP
13,24,8.2,7.5,7.6,9,4,09-9UDP
14,13,4.7,3.5,2.6,2.5,1,09-9UDP
15,2,5.7,6.1,6.8,7.3,4,09-9UDP
