participantID,participantCode,seq,exp,prewalkStart,walkB,walkE,walkFinish,preCandidateN,preSelectedN,walkCandidateN,walkSelectedN,preLowAnimFrac,walkContinuousFrac,preDynamicMedian,preRawMedian,walkDynamicMedian,walkRawMedian
10-9UHM,9UHM,26,28,3571.28400015831,3576.28400015831,3595.35199999809,3597.92239087135,500,500,2164,1958,1,0.904805914972274,22.1939788860774,1003.26076007547,258.697111152865,987.437421188571
10-9UHM,9UHM,27,22,3681.15900015831,3686.15900015831,3705.20700001717,3708.21091455522,500,447,2206,2124,0.894,0.962828649138713,20.7723877222511,982.500387367475,246.446023952657,978.02090641405
10-9UHM,9UHM,28,17,3783.19800019264,3788.19800019264,3807.25800013542,3809.49885476729,500,424,2130,2028,0.848,0.952112676056338,25.93395045921,986.554992575146,239.985846012198,978.577328001028
10-9UHM,9UHM,29,32,3886.53000020981,3891.53000020981,3910.58300018311,3914.76597326627,500,500,2323,2007,1,0.863969005596212,24.3840578136438,1005.9339112596,255.858355769011,977.835363129775
10-9UHM,9UHM,30,26,3994.07100009918,3999.07100009918,4018.11900019646,4021.03490694294,500,500,2196,2116,1,0.963570127504554,25.183372134374,979.837378860119,244.993590065025,981.20677137951
10-9UHM,9UHM,31,20,4098.14200019836,4103.14200019836,4122.19100022316,4123.63184755476,500,500,2049,1966,1,0.959492435334309,24.9460407305141,1005.21213896945,272.698606686813,976.795665479966
10-9UHM,9UHM,32,15,4206.33300018311,4211.33300018311,4230.3820002079,4231.31013858613,500,500,1998,1902,1,0.951951951951952,24.536495787843,979.800340970107,266.771850526706,980.873849596848
10-9UHM,9UHM,33,34,4319.54500007629,4324.54500007629,4343.61000013351,4345.49422350418,500,500,2095,2025,1,0.966587112171838,26.4124365134215,1001.81284366204,256.238525565111,979.615134715833
10-9UHM,9UHM,34,24,4417.73200011253,4422.73200011253,4441.79400014877,4444.05925697701,500,500,2133,2018,1,0.946085325832161,26.0773266157825,1002.31985232738,245.027627555959,977.315649740981
10-9UHM,9UHM,35,33,4516.84500002861,4521.84500002861,4540.89200019836,4542.40492279785,500,500,2056,1981,1,0.96352140077821,21.9204138132168,1005.71743396189,273.128289351294,983.386454333102
10-9UHM,9UHM,36,30,4621.77200007439,4626.77200007439,4645.82899999619,4646.17206017559,500,500,1940,1861,1,0.959278350515464,25.8349865359415,986.481421226926,277.740627885133,984.271723638559
10-9UHM,9UHM,37,39,4726.66300010681,4731.66300010681,4750.71200013161,4752.12975172656,500,500,2047,1901,1,0.928676111382511,21.7522699694162,966.562463620799,279.558392947086,995.416991119752
10-9UHM,9UHM,38,3,4830.79000020027,4835.79000020027,4854.85800004005,4856.30940944197,500,500,2052,1934,1,0.942495126705653,30.5301689190198,995.052356142456,265.748302130147,992.642403285226
11-9UIZ,9UIZ,1,14,268.381000041962,273.381000041962,292.435000181198,297.548444885665,500,450,2417,1725,0.9,0.71369466280513,20.634911772956,983.902958227677,252.492012785013,966.412271332794
11-9UIZ,9UIZ,2,6,383.371999979019,388.371999979019,407.40700006485,412.36543628702,500,500,2399,1874,1,0.781158816173406,19.5570830056531,985.377191835775,241.897030068022,971.543130095354
11-9UIZ,9UIZ,3,12,498.72200012207,503.72200012207,522.766999959946,527.137975842026,500,500,2342,1879,1,0.802305721605465,21.3387838831297,982.57425680011,237.976999745927,973.669911335656
11-9UIZ,9UIZ,4,19,627.786000013351,632.786000013351,651.841000080109,654.188270458796,500,500,2141,1841,1,0.859878561419897,24.7179461419449,980.947844305295,259.575362166673,975.457283030664
11-9UIZ,9UIZ,5,13,738.97000002861,743.97000002861,763.021000146866,765.809365468004,500,500,2184,1915,1,0.876831501831502,19.9590001783406,984.492916582729,256.986324266589,981.835312379727
11-9UIZ,9UIZ,6,38,852.700999975204,857.700999975204,876.748000144958,880.212301461952,500,500,2251,1895,1,0.841848067525544,18.3652139953443,985.450845623062,250.946764082503,979.392840139835
11-9UIZ,9UIZ,7,1,967.554000139236,972.554000139236,991.615000009537,994.937546509553,500,500,2238,1884,1,0.841823056300268,18.8832912639331,983.607846355943,276.704170003347,978.169310636152
11-9UIZ,9UIZ,8,11,1090.617000103,1095.617000103,1114.66100001335,1119.67163407457,500,500,2406,1898,1,0.788861180382377,20.6803798214489,984.492916582729,251.284414776562,984.087340933118
11-9UIZ,9UIZ,9,5,1196.57100009918,1201.57100009918,1220.64100003242,1228.66204991765,500,500,2709,1918,1,0.708010335917313,19.2756318264161,985.67174920861,226.445950443875,971.729856161883
11-9UIZ,9UIZ,10,8,1310.38199996948,1315.38199996948,1334.43099999428,1339.54032110864,500,500,2416,1892,1,0.783112582781457,20.9144039454476,984.492916582729,247.234035537571,970.795789095547
11-9UIZ,9UIZ,11,21,1437.39700007439,1442.39700007439,1461.45900011063,1465.58211867388,500,500,2319,1951,1,0.841310909874946,23.5636841640423,977.538374381602,261.01371826159,978.873956479499
11-9UIZ,9UIZ,12,33,1540.84899997711,1545.84899997711,1564.8860001564,1568.18026033593,500,500,2233,1901,1,0.851321092700403,20.3543775837963,981.835312379727,254.301104652413,974.787402706929
11-9UIZ,9UIZ,13,4,1651.44900012016,1656.44900012016,1675.49500012398,1679.80854447964,500,500,2336,1941,1,0.830907534246575,19.4285916445441,987.437421188571,251.704178204365,977.167113059837
11-9UIZ,9UIZ,14,29,1762.01999998093,1767.01999998093,1786.07299995422,1788.04858238481,500,500,2103,1931,1,0.918212077983833,19.1259130920332,984.271723638559,270.689320301339,975.382874602848
11-9UIZ,9UIZ,15,22,1871.49500012398,1876.49500012398,1895.53999996185,1897.93234056549,500,500,2144,1838,1,0.857276119402985,19.6326183030281,983.238831956779,282.90720477735,987.584372215676
11-9UIZ,9UIZ,16,9,1976.63000011444,1981.63000011444,2000.67100000381,2003.49015877963,500,500,2186,1877,1,0.858645928636779,20.1237391475543,985.892652794158,274.184805171408,977.092834840501
11-9UIZ,9UIZ,17,26,2080.11500000954,2085.11500000954,2104.15400004387,2106.66723718082,500,500,2155,1822,1,0.845475638051044,19.7424882198438,987.290393576439,289.409095149494,992.167028095264
11-9UIZ,9UIZ,18,32,2188.33299994469,2193.33299994469,2212.38300013542,2216.03805670481,500,500,2271,1941,1,0.854689564068692,20.0472203317583,983.386454333102,256.898148101379,975.382874602848
11-9UIZ,9UIZ,19,28,2294.90400004387,2299.90400004387,2318.94799995422,2320.9346209424,500,500,2103,1686,1,0.801711840228245,20.3039753570515,983.238831956779,274.269187963736,977.686832127124
11-9UIZ,9UIZ,20,30,2778.79100012779,2783.79100012779,2802.84300017357,2804.93426389099,500,500,2114,1819,1,0.860454115421003,22.7450018552598,982.204854081389,266.054874159825,983.902958227677
11-9UIZ,9UIZ,21,2,2883.43300008774,2888.43300008774,2907.48099994659,2910.19654670414,500,500,2176,1843,1,0.846966911764706,20.0741780794598,984.492916582729,267.498609754309,983.681632624106
11-9UIZ,9UIZ,22,40,2992.82500004768,2997.82500004768,3016.87000012398,3018.77033473163,500,500,2095,1795,1,0.856801909307876,19.9176015275695,985.892652794158,291.520185037563,978.577328001028
11-9UIZ,9UIZ,23,3,3100.56500005722,3105.56500005722,3124.62600016594,3128.75377581728,500,500,2319,1808,1,0.779646399310047,19.1734715966425,987.290393576439,264.81884499791,981.169786578426
11-9UIZ,9UIZ,24,39,3209.24000000954,3214.24000000954,3233.2990000248,3234.04328152462,500,500,1980,1709,1,0.863131313131313,21.0878806377765,987.437421188571,325.200918998422,989.860043684035
11-9UIZ,9UIZ,25,24,3303.7380001545,3308.7380001545,3327.78600001335,3329.80708930241,500,500,2106,1757,1,0.834283000949668,20.8639887219051,983.681632624106,298.971545916647,985.892652794158
