participantID,seq,exp,nSamples,medianVal,maxVal
06-9UA7,14,36,1904,234.158811069643,322.657534249452
06-9UA7,15,38,1903,262.60421743136,344.742980450566
06-9UA7,16,40,1904,241.923555407919,313.577037162765
06-9UA7,17,39,1904,235.094838174523,378.861622395192
06-9UA7,18,19,1905,223.981792993662,286.914886911622
06-9UA7,19,18,1907,232.441544559841,307.050109397691
06-9UA7,20,8,1905,279.228937190822,348.321452642229
06-9UA7,21,10,1904,247.414828099103,393.433299881264
06-9UA7,22,32,1905,231.84665440464,313.543996127122
06-9UA7,23,23,1905,228.285155039648,317.237197380495
06-9UA7,24,21,1904,228.768523116108,335.318886631284
06-9UA7,25,14,1904,237.400057600812,348.433872174049
06-9UA7,26,12,1905,237.078047217532,314.240389044525
06-9UA7,27,29,1904,225.716512967783,327.430710857894
06-9UA7,28,22,1905,208.303762926081,280.236456385766
06-9UA7,29,25,1905,230.814362104514,303.823064015831
06-9UA7,30,1,1906,230.517354993581,329.871733652739
06-9UA7,31,2,1905,205.533973535712,301.483452507809
06-9UA7,32,3,1906,224.218662932285,309.180674818909
06-9UA7,33,28,1905,234.43724387355,313.617698274106
06-9UA7,34,17,1905,223.297591507416,291.694899122456
06-9UA7,35,11,1904,232.378841528521,302.636615830451
06-9UA7,36,26,1905,227.724904788979,300.237520736495
06-9UA7,37,31,1905,234.515174807815,342.630360342844
06-9UA7,38,4,1904,262.921595287016,367.013577345522
07-9UAD,1,22,1907,243.44435538197,390.291880301691
07-9UAD,2,15,1905,240.819706470322,369.98250243271
07-9UAD,3,23,1906,213.204090203286,287.860707334238
07-9UAD,4,5,1905,187.861530106865,306.54171046266
07-9UAD,5,26,1904,209.998170875183,293.075072175669
07-9UAD,6,1,1906,200.510939081108,283.608478531242
07-9UAD,7,29,1905,207.415625238017,274.84029495394
07-9UAD,8,31,1905,209.18268738672,299.794857267059
07-9UAD,9,37,1907,195.987227571275,244.529489516997
07-9UAD,10,4,1906,200.550985199719,276.143514616945
07-9UAD,11,25,1905,206.145150615767,283.024593527011
07-9UAD,12,7,1907,208.004580666804,271.920750755532
07-9UAD,13,27,1904,179.759777110222,268.100596535351
07-9UAD,14,12,1904,202.774489826415,393.139328722511
07-9UAD,15,30,1904,183.161275366236,277.702093165821
07-9UAD,16,8,1905,197.222407796553,268.014377784528
07-9UAD,17,9,1904,200.625479328359,294.558952124144
07-9UAD,18,28,1907,200.163023906652,278.560069649475
07-9UAD,19,24,1905,202.602756242113,266.748057107533
07-9UAD,20,13,1907,200.713138313997,292.570406783553
07-9UAD,21,10,1905,184.968786461922,247.846198039804
07-9UAD,22,6,1906,194.127198186749,261.294687990353
07-9UAD,23,36,1905,176.93936978656,275.063480307115
07-9UAD,24,38,1905,183.575874262563,263.163974864151
07-9UAD,25,40,1904,192.02534100887,256.338032398087
07-9UAD,26,32,1904,194.936310133633,272.176240204891
07-9UAD,27,33,1905,191.429004070813,284.703284487526
07-9UAD,28,11,1906,202.173400670173,256.739443378181
07-9UAD,29,39,1905,184.592635076747,264.595301266171
07-9UAD,30,17,1905,200.799338493216,296.827536654127
07-9UAD,31,19,1905,183.925632899605,257.187376832159
07-9UAD,32,2,1904,175.424653043181,258.561308345776
07-9UAD,33,20,1906,205.391842700093,293.208868706828
07-9UAD,34,14,1905,194.695099524492,280.386124929016
07-9UAD,35,34,1905,203.016201611747,293.172367147704
07-9UAD,36,18,1905,176.518702342206,297.796544903169
07-9UAD,37,21,1904,140.911338675079,275.174798233148
07-9UAD,38,3,1905,227.136959221591,300.533909072112
08-9UB2,1,30,1906,159.185298109786,274.02551763867
08-9UB2,2,21,1905,167.431550015806,294.550835289796
08-9UB2,3,10,1907,174.552836213551,283.758374610205
08-9UB2,4,28,1905,156.127063557616,293.233135845615
08-9UB2,5,12,1904,177.299490119676,347.339179669928
08-9UB2,6,7,1905,165.639733827153,275.613011147192
08-9UB2,7,39,1907,163.238998372504,291.922553610111
08-9UB2,8,15,1905,184.507193440615,360.539220608204
08-9UB2,9,6,1904,170.867875317427,288.533859640449
08-9UB2,10,22,1905,171.513687173898,318.744323661113
08-9UB2,11,23,1906,178.180878070007,283.710625152231
08-9UB2,12,3,1905,164.992372941388,283.425767093854
08-9UB2,13,26,1905,174.12542254317,295.253080319021
08-9UB2,14,36,1905,171.471862905594,300.075558525971
08-9UB2,15,31,1906,171.586154413237,283.425767093854
08-9UB2,16,37,1906,162.474495313247,270.755976156926
08-9UB2,17,14,1907,173.934069217359,287.626077645635
08-9UB2,18,25,1905,174.653578057923,307.609858185527
