participantID,seq,exp,preDynamicMedian,walkDynamicMedian,walkRawMedian,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
05-9U8B,9,26,27.2817775414132,252.578797269945,972.551135933039,1,0.792570951585977,4.8,8.2,4,4.3,1
05-9U8B,10,2,26.5992818332424,223.823145920233,978.354797622255,1,0.874385964912281,5,7.6,5.9,5.8,1
05-9U8B,11,28,31.5209503732564,248.269823520656,975.457283030664,1,0.797637195121951,4.4,8.5,5,7.3,1
05-9U8B,12,15,24.4586514985828,226.030029988449,980.355752599439,1,0.871862120644436,6.7,8.3,3,7.9,1
05-9U8B,13,9,26.3757723767979,228.937296154092,973.893512190902,1,0.885499058380414,7,7.2,6.9,8,1
05-9U8B,14,4,21.7273941579455,258.865391833735,971.356355216693,1,0.842755522276301,6,8.1,3.7,5.5,1
05-9U8B,15,20,25.7223619985153,259.655504189342,972.028600073733,1,0.808224299065421,7.2,7.3,6,8.7,3
05-9U8B,16,21,22.8685508115253,239.041706745572,979.503987427834,1,0.844164919636618,3.4,8.3,4.2,2.3,1
05-9U8B,17,12,20.8871680898308,244.852277773021,974.303296014177,1,0.856040138942493,7.6,7.3,5.9,8.7,1
05-9U8B,18,14,28.3791472801475,252.139157760273,977.24138563343,1,0.854825949367089,7.8,6.9,5.7,8.4,1
05-9U8B,19,13,25.4207246239678,233.651387844777,979.689218897964,1,0.715057393652937,5.8,8.7,3,5.3,1
05-9U8B,20,40,23.6288195507605,242.813594855732,977.389913848534,1,0.752406239628277,3.2,8,5.7,3.5,1
05-9U8B,21,8,25.371416647197,236.168201039097,977.092834840501,1,0.88164342254052,5,8.2,6,7.3,1
05-9U8B,22,29,23.5612621733246,242.100901430522,978.466068434929,1,0.820566631689402,4.2,8.6,5,6.5,1
05-9U8B,23,23,19.5992378180431,241.833771102382,974.042550911216,1,0.858750907770516,3.3,8.7,3.2,5,2
05-9U8B,24,30,25.3332454490625,244.442873369304,973.744447806377,1,0.784244144783534,3,7.6,6.3,8.3,2
05-9U8B,25,34,24.8454326882971,236.898856594993,977.167113059837,1,0.833506044905009,5.7,6.9,7.5,7.4,1
05-9U8B,26,37,24.426045713252,232.409580957586,973.669911335656,1,0.807137954701441,2.3,6.5,6.5,8.5,1
05-9U8B,27,25,25.581452116894,231.287647537897,976.49840568444,1,0.753371185237757,5,8.4,4.5,3,1
05-9U8B,28,33,24.6048410645982,235.677302692483,974.340557111802,1,0.814840499306519,4,8.7,4.1,5.7,1
05-9U8B,29,38,21.8436717951701,241.921083816635,978.873956479499,1,0.822125813449024,2.1,7.6,5.4,6,1
05-9U8B,30,1,19.1065570778756,252.538902652045,975.606082861143,1,0.810898592565861,7.6,8.3,5.5,8.6,1
05-9U8B,31,39,20.2997655362391,239.267356533461,978.948099555271,1,0.820115356885364,2,7.6,6.3,7.1,1
05-9U8B,32,31,22.4071234660319,237.987285300678,973.8189842771,1,0.757339936328263,4.6,8.3,5,5.3,1
05-9U8B,33,17,22.8374157679657,270.337560168158,977.389913848534,1,0.783489681050657,5,8.8,4,3.4,1
05-9U8B,34,36,24.5874831770438,273.340377373873,977.389913848534,1,0.810734463276836,3.8,8.8,4,5.9,1
05-9U8B,35,10,20.6721203336649,259.335874817694,970.085285471512,1,0.819400630914827,4.2,8.3,6,6.5,1
05-9U8B,36,32,21.0473496714308,268.133505248429,974.93630477802,1,0.735749185667752,3.6,8.5,4.2,6.9,1
05-9U8B,37,18,16.3325110066454,261.218862478588,973.297083383299,1,0.768217054263566,6.9,7.5,5.6,7.8,1
05-9U8B,38,3,21.2465494098587,248.009216549766,976.49840568444,1,0.835888934935765,7.8,7.4,6.5,8.8,2
