normalization,subjectID,markerGroup,nValidEmotions,spearmanRho
absolute,XP1500,UPPER_LIMB_L,5,0.9
absolute,XP1500,UPPER_LIMB_R,5,1
absolute,XP1500,LOWER_LIMB_L,5,1
absolute,XP1500,LOWER_LIMB_R,5,0.9
absolute,XP1500,WRIST_L,5,0.9
absolute,XP1500,WRIST_R,5,1
absolute,XP1500,LTORSO,5,0.9
absolute,XR2302,UTORSO,5,1
absolute,XR2302,HEAD,5,0.9
absolute,XR2302,UPPER_LIMB_L,5,0.8
absolute,XR2302,UPPER_LIMB_R,5,0.9
absolute,XR2302,LOWER_LIMB_L,5,1
absolute,XR2302,LOWER_LIMB_R,5,0.9
absolute,XR2302,WRIST_L,5,0.9
absolute,XR2302,WRIST_R,5,0.9
absolute,XR2302,LTORSO,5,1
absolute,XT2701,UTORSO,5,0.7
absolute,XT2701,HEAD,5,0.6
absolute,XT2701,UPPER_LIMB_L,5,0.7
absolute,XT2701,UPPER_LIMB_R,5,0.7
absolute,XT2701,LOWER_LIMB_L,5,1
absolute,XT2701,LOWER_LIMB_R,5,1
absolute,XT2701,WRIST_L,5,0.9
absolute,XT2701,WRIST_R,5,0.7
absolute,XT2701,LTORSO,5,0.9
absolute,XW3001,UTORSO,5,0.9
absolute,XW3001,HEAD,5,0.9
absolute,XW3001,UPPER_LIMB_L,5,0.7
absolute,XW3001,UPPER_LIMB_R,5,0.6
absolute,XW3001,LOWER_LIMB_L,5,1
absolute,XW3001,LOWER_LIMB_R,5,1
absolute,XW3001,WRIST_L,5,0.6
absolute,XW3001,WRIST_R,5,0.6
absolute,XW3001,LTORSO,5,0.9
absolute,XY1700,UTORSO,5,0.9
absolute,XY1700,HEAD,5,1
absolute,XY1700,UPPER_LIMB_L,5,0.9
absolute,XY1700,UPPER_LIMB_R,5,1
absolute,XY1700,LOWER_LIMB_L,5,0.9
absolute,XY1700,LOWER_LIMB_R,5,0.8
absolute,XY1700,WRIST_L,5,0.8
absolute,XY1700,WRIST_R,5,0.9
absolute,XY1700,LTORSO,5,1
baseline-normalized,HH2603,UTORSO,5,-0.6
baseline-normalized,HH2603,HEAD,5,0.6
baseline-normalized,HH2603,UPPER_LIMB_L,5,-0.1
baseline-normalized,HH2603,UPPER_LIMB_R,5,-0.3
baseline-normalized,HH2603,LOWER_LIMB_L,5,0.3
baseline-normalized,HH2603,LOWER_LIMB_R,5,0.3
baseline-normalized,HH2603,WRIST_L,5,-0.5
baseline-normalized,HH2603,WRIST_R,5,0.1
baseline-normalized,HH2603,LTORSO,5,0.3
baseline-normalized,KN9309,UTORSO,5,-0.1
baseline-normalized,KN9309,HEAD,5,-0.1
baseline-normalized,KN9309,UPPER_LIMB_L,5,0.7
baseline-normalized,KN9309,UPPER_LIMB_R,5,0.2
baseline-normalized,KN9309,LOWER_LIMB_L,5,-0.1
baseline-normalized,KN9309,LOWER_LIMB_R,5,0.1
baseline-normalized,KN9309,WRIST_L,5,0.6
baseline-normalized,KN9309,WRIST_R,5,0.5
baseline-normalized,KN9309,LTORSO,5,-0.3
baseline-normalized,XJ1505,UTORSO,5,0.4
baseline-normalized,XJ1505,HEAD,5,0.4
baseline-normalized,XJ1505,UPPER_LIMB_L,5,0.9
baseline-normalized,XJ1505,UPPER_LIMB_R,5,0.4
baseline-normalized,XJ1505,LOWER_LIMB_L,5,0.7
baseline-normalized,XJ1505,LOWER_LIMB_R,5,0.6
baseline-normalized,XJ1505,WRIST_L,5,0.7
