normalization,subjectID,markerGroup,emotion,fullMedian,microMedian
absolute,AK1703,HEAD,DISGUST,96.3458505657483,23.7183440715508
absolute,AK1703,HEAD,FEAR,46.1742615898481,17.2513379213871
absolute,AK1703,HEAD,JOY,64.8237243061584,19.3257868151353
absolute,AK1703,HEAD,SAD,33.595989279267,16.1488725978617
absolute,AK1703,UPPER_LIMB_L,NEUTRAL,36.054626404373,14.6060283322951
absolute,AK1703,UPPER_LIMB_L,DISGUST,62.2802251757552,21.7155729638803
absolute,AK1703,UPPER_LIMB_L,FEAR,32.9867211218546,16.897960891653
absolute,AK1703,UPPER_LIMB_L,JOY,51.2582287053253,17.9117696865594
absolute,AK1703,UPPER_LIMB_L,SAD,28.6334837574606,10.4907040670777
absolute,AK1703,UPPER_LIMB_R,NEUTRAL,25.9519130824438,14.8617970602743
absolute,AK1703,UPPER_LIMB_R,DISGUST,51.1827704167543,22.2748334607457
absolute,AK1703,UPPER_LIMB_R,FEAR,39.5024570724799,16.2709730900424
absolute,AK1703,UPPER_LIMB_R,JOY,59.5510568046079,15.1478563399201
absolute,AK1703,UPPER_LIMB_R,SAD,29.3396271713485,13.3219172216709
absolute,AK1703,LOWER_LIMB_L,NEUTRAL,11.3039571044988,7.28368479627942
absolute,AK1703,LOWER_LIMB_L,DISGUST,21.1759771781771,12.4519154801805
absolute,AK1703,LOWER_LIMB_L,FEAR,13.2486590308173,8.82688480739211
absolute,AK1703,LOWER_LIMB_L,JOY,16.7528193131764,8.53146297728153
absolute,AK1703,LOWER_LIMB_L,SAD,10.9204554655859,6.0580433468266
absolute,AK1703,LOWER_LIMB_R,NEUTRAL,6.91220562300429,5.04209539997348
absolute,AK1703,LOWER_LIMB_R,DISGUST,15.3528689760599,10.2369725076508
absolute,AK1703,LOWER_LIMB_R,FEAR,10.0794095653679,6.57587896567341
absolute,AK1703,LOWER_LIMB_R,JOY,15.3424159875715,6.92962678828197
