normalization,subjectID,markerGroup,pairLabel,comparable,deltaFull,deltaMicro,signFlip
absolute,HH2603,LTORSO,NEUTRAL-FEAR,1,21.7791431442778,3.1604637083763,0
absolute,HH2603,LTORSO,NEUTRAL-JOY,1,-4.58188706899159,4.75051419831611,1
absolute,HH2603,LTORSO,NEUTRAL-SAD,1,35.8867954836438,6.89322738945328,0
absolute,HH2603,LTORSO,DISGUST-FEAR,1,21.1602963052612,-5.42564742554609,1
absolute,HH2603,LTORSO,DISGUST-JOY,1,-5.20073390800816,-3.83559693560628,0
absolute,HH2603,LTORSO,DISGUST-SAD,1,35.2679486446272,-1.69288374446911,1
absolute,HH2603,LTORSO,FEAR-JOY,1,-26.3610302132694,1.59005048993981,1
absolute,HH2603,LTORSO,FEAR-SAD,1,14.107652339366,3.73276368107698,0
absolute,HH2603,LTORSO,JOY-SAD,1,40.4686825526354,2.14271319113718,0
absolute,KN9309,UTORSO,NEUTRAL-DISGUST,1,-33.5201153837902,1.90913976678393,1
absolute,KN9309,UTORSO,NEUTRAL-FEAR,1,-64.0769159400719,-6.20483687424922,0
absolute,KN9309,UTORSO,NEUTRAL-JOY,1,-14.3642122702004,5.16989514711128,1
absolute,KN9309,UTORSO,NEUTRAL-SAD,1,-5.74448053049329,-8.47457548574663,0
absolute,KN9309,UTORSO,DISGUST-FEAR,1,-30.5568005562817,-8.11397664103315,0
absolute,KN9309,UTORSO,DISGUST-JOY,1,19.1559031135898,3.26075538032735,0
absolute,KN9309,UTORSO,DISGUST-SAD,1,27.7756348532969,-10.3837152525306,1
absolute,KN9309,UTORSO,FEAR-JOY,1,49.7127036698715,11.3747320213605,0
absolute,KN9309,UTORSO,FEAR-SAD,1,58.3324354095786,-2.26973861149742,1
absolute,KN9309,UTORSO,JOY-SAD,1,8.61973173970715,-13.6444706328579,1
absolute,KN9309,HEAD,NEUTRAL-DISGUST,1,-44.1068076835926,0.67445778607663,1
absolute,KN9309,HEAD,NEUTRAL-FEAR,1,-78.3824446094575,-3.59329347903077,0
absolute,KN9309,HEAD,NEUTRAL-JOY,1,-24.6009674577271,5.27682675837058,1
absolute,KN9309,HEAD,NEUTRAL-SAD,1,-9.3924866531966,-5.96706068363132,0
absolute,KN9309,HEAD,DISGUST-FEAR,1,-34.2756369258649,-4.2677512651074,0
absolute,KN9309,HEAD,DISGUST-JOY,1,19.5058402258656,4.60236897229395,0
absolute,KN9309,HEAD,DISGUST-SAD,1,34.714321030396,-6.64151846970795,1
absolute,KN9309,HEAD,FEAR-JOY,1,53.7814771517305,8.87012023740134,0
absolute,KN9309,HEAD,FEAR-SAD,1,68.9899579562609,-2.37376720460055,1
absolute,KN9309,HEAD,JOY-SAD,1,15.2084808045305,-11.2438874420019,1
absolute,KN9309,UPPER_LIMB_L,NEUTRAL-DISGUST,1,-31.7044998622174,-1.35740260373392,0
absolute,KN9309,UPPER_LIMB_L,NEUTRAL-FEAR,1,-69.8925884176673,-12.2347895171901,0
absolute,KN9309,UPPER_LIMB_L,NEUTRAL-JOY,1,1.98747495568807,2.58512907220191,0
absolute,KN9309,UPPER_LIMB_L,NEUTRAL-SAD,1,-12.3026432536748,-13.0285275575157,0
absolute,KN9309,UPPER_LIMB_L,DISGUST-FEAR,1,-38.1880885554498,-10.8773869134562,0
absolute,KN9309,UPPER_LIMB_L,DISGUST-JOY,1,33.6919748179055,3.94253167593583,0
absolute,KN9309,UPPER_LIMB_L,DISGUST-SAD,1,19.4018566085426,-11.6711249537818,1
absolute,KN9309,UPPER_LIMB_L,FEAR-JOY,1,71.8800633733553,14.8199185893921,0
absolute,KN9309,UPPER_LIMB_L,FEAR-SAD,1,57.5899451639925,-0.793738040325556,1
absolute,KN9309,UPPER_LIMB_L,JOY-SAD,1,-14.2901182093629,-15.6136566297176,0
absolute,KN9309,UPPER_LIMB_R,NEUTRAL-DISGUST,1,-41.7465884878208,-0.285498757613226,0
absolute,KN9309,UPPER_LIMB_R,NEUTRAL-FEAR,1,-71.9599691196183,-9.29381288352537,0
absolute,KN9309,UPPER_LIMB_R,NEUTRAL-JOY,1,-21.9041792677925,4.46470150185034,1
absolute,KN9309,UPPER_LIMB_R,NEUTRAL-SAD,1,-9.2264015614316,-10.3944720412269,0
absolute,KN9309,UPPER_LIMB_R,DISGUST-FEAR,1,-30.2133806317974,-9.00831412591215,0
absolute,KN9309,UPPER_LIMB_R,DISGUST-JOY,1,19.8424092200283,4.75020025946356,0
absolute,KN9309,UPPER_LIMB_R,DISGUST-SAD,1,32.5201869263892,-10.1089732836137,1
absolute,KN9309,UPPER_LIMB_R,FEAR-JOY,1,50.0557898518258,13.7585143853757,0
absolute,KN9309,UPPER_LIMB_R,FEAR-SAD,1,62.7335675581867,-1.10065915770155,1
absolute,KN9309,UPPER_LIMB_R,JOY-SAD,1,12.6777777063609,-14.8591735430773,1
absolute,KN9309,LOWER_LIMB_L,NEUTRAL-DISGUST,1,-12.326056068597,-0.554757669373014,0
absolute,KN9309,LOWER_LIMB_L,NEUTRAL-FEAR,1,-25.9748815211959,-9.07015939562346,0
absolute,KN9309,LOWER_LIMB_L,NEUTRAL-JOY,1,-3.75105603561224,1.09843293491806,1
absolute,KN9309,LOWER_LIMB_L,NEUTRAL-SAD,1,4.82882082126186,-9.50661050100693,1
absolute,KN9309,LOWER_LIMB_L,DISGUST-FEAR,1,-13.6488254525989,-8.51540172625045,0
absolute,KN9309,LOWER_LIMB_L,DISGUST-JOY,1,8.5750000329848,1.65319060429108,0
absolute,KN9309,LOWER_LIMB_L,DISGUST-SAD,1,17.1548768898589,-8.95185283163391,1
absolute,KN9309,LOWER_LIMB_L,FEAR-JOY,1,22.2238254855837,10.1685923305415,0
absolute,KN9309,LOWER_LIMB_L,FEAR-SAD,1,30.8037023424578,-0.436451105383468,1
absolute,KN9309,LOWER_LIMB_L,JOY-SAD,1,8.5798768568741,-10.605043435925,1
absolute,KN9309,LOWER_LIMB_R,NEUTRAL-DISGUST,1,-8.68404432243072,1.03966312492469,1
absolute,KN9309,LOWER_LIMB_R,NEUTRAL-FEAR,1,-16.6253700976376,-6.3482593602761,0
absolute,KN9309,LOWER_LIMB_R,NEUTRAL-JOY,1,-2.85974190343056,2.43210246441818,1
absolute,KN9309,LOWER_LIMB_R,NEUTRAL-SAD,1,2.47239059544094,-6.32908322035026,1
absolute,KN9309,LOWER_LIMB_R,DISGUST-FEAR,1,-7.94132577520685,-7.38792248520078,0
absolute,KN9309,LOWER_LIMB_R,DISGUST-JOY,1,5.82430241900016,1.39243933949349,0
absolute,KN9309,LOWER_LIMB_R,DISGUST-SAD,1,11.1564349178717,-7.36874634527495,1
absolute,KN9309,LOWER_LIMB_R,FEAR-JOY,1,13.765628194207,8.78036182469427,0
absolute,KN9309,LOWER_LIMB_R,FEAR-SAD,1,19.0977606930785,0.0191761399258379,0
absolute,KN9309,LOWER_LIMB_R,JOY-SAD,1,5.33213249887149,-8.76118568476844,1
absolute,KN9309,WRIST_L,NEUTRAL-DISGUST,1,-34.7864409514787,-6.86331629846989,0
absolute,KN9309,WRIST_L,NEUTRAL-FEAR,1,-76.0569521148538,-16.3183274032665,0
absolute,KN9309,WRIST_L,NEUTRAL-JOY,1,2.23259207582252,-2.07006363924113,1
absolute,KN9309,WRIST_L,NEUTRAL-SAD,1,-18.6344620650554,-17.0251632174919,0
absolute,KN9309,WRIST_L,DISGUST-FEAR,1,-41.2705111633751,-9.4550111047966,0
absolute,KN9309,WRIST_L,DISGUST-JOY,1,37.0190330273012,4.79325265922876,0
absolute,KN9309,WRIST_L,DISGUST-SAD,1,16.1519788864234,-10.161846919022,1
absolute,KN9309,WRIST_L,FEAR-JOY,1,78.2895441906763,14.2482637640254,0
absolute,KN9309,WRIST_L,FEAR-SAD,1,57.4224900497984,-0.7068358142254,1
absolute,KN9309,WRIST_L,JOY-SAD,1,-20.8670541408779,-14.9550995782508,0
absolute,KN9309,WRIST_R,NEUTRAL-DISGUST,1,-45.8476091152911,-2.81895008270293,0
absolute,KN9309,WRIST_R,NEUTRAL-FEAR,1,-79.3390511559166,-14.292580900008,0
absolute,KN9309,WRIST_R,NEUTRAL-JOY,1,-18.3474406666513,1.52176125365649,1
absolute,KN9309,WRIST_R,NEUTRAL-SAD,1,-11.0943973409919,-13.7400989034426,0
absolute,KN9309,WRIST_R,DISGUST-FEAR,1,-33.4914420406255,-11.4736308173051,0
absolute,KN9309,WRIST_R,DISGUST-JOY,1,27.5001684486398,4.34071133635942,0
absolute,KN9309,WRIST_R,DISGUST-SAD,1,34.7532117742992,-10.9211488207397,1
absolute,KN9309,WRIST_R,FEAR-JOY,1,60.9916104892653,15.8143421536645,0
absolute,KN9309,WRIST_R,FEAR-SAD,1,68.2446538149246,0.552481996565374,0
absolute,KN9309,WRIST_R,JOY-SAD,1,7.25304332565935,-15.2618601570991,1
absolute,KN9309,LTORSO,NEUTRAL-DISGUST,1,-19.513507236155,1.45437520413097,1
absolute,KN9309,LTORSO,NEUTRAL-FEAR,1,-47.9053340215305,-11.2438524405332,0
absolute,KN9309,LTORSO,NEUTRAL-JOY,1,4.70103581104735,1.3377075138367,0
absolute,KN9309,LTORSO,NEUTRAL-SAD,1,5.85476027234462,-12.4483137602714,1
absolute,KN9309,LTORSO,DISGUST-FEAR,1,-28.3918267853755,-12.6982276446642,0
absolute,KN9309,LTORSO,DISGUST-JOY,1,24.2145430472024,-0.116667690294271,1
absolute,KN9309,LTORSO,DISGUST-SAD,1,25.3682675084997,-13.9026889644024,1
absolute,KN9309,LTORSO,FEAR-JOY,1,52.6063698325779,12.5815599543699,0
absolute,KN9309,LTORSO,FEAR-SAD,1,53.7600942938752,-1.20446131973818,1
absolute,KN9309,LTORSO,JOY-SAD,1,1.15372446129727,-13.7860212741081,1
absolute,XJ1505,UTORSO,NEUTRAL-DISGUST,1,-65.828354674245,-2.99141590392045,0
absolute,XJ1505,UTORSO,NEUTRAL-FEAR,1,-48.525561681972,0.199538265084183,1
absolute,XJ1505,UTORSO,NEUTRAL-JOY,1,-13.6815187698163,5.43502405873167,1
absolute,XJ1505,UTORSO,NEUTRAL-SAD,1,-14.1099204022479,1.74635713415239,1
absolute,XJ1505,UTORSO,DISGUST-FEAR,1,17.302792992273,3.19095416900463,0
absolute,XJ1505,UTORSO,DISGUST-JOY,1,52.1468359044287,8.42643996265212,0
absolute,XJ1505,UTORSO,DISGUST-SAD,1,51.7184342719971,4.73777303807284,0
absolute,XJ1505,UTORSO,FEAR-JOY,1,34.8440429121558,5.23548579364749,0
absolute,XJ1505,UTORSO,FEAR-SAD,1,34.4156412797241,1.5468188690682,0
absolute,XJ1505,UTORSO,JOY-SAD,1,-0.428401632431644,-3.68866692457929,0
absolute,XJ1505,HEAD,NEUTRAL-DISGUST,1,-75.1807537463102,-3.42301847806778,0
absolute,XJ1505,HEAD,NEUTRAL-FEAR,1,-61.5780476483523,1.50680078312208,1
absolute,XJ1505,HEAD,NEUTRAL-JOY,1,-18.6616357059585,5.08003880883285,1
absolute,XJ1505,HEAD,NEUTRAL-SAD,1,-29.4202321930341,2.45280818097856,1
absolute,XJ1505,HEAD,DISGUST-FEAR,1,13.6027060979579,4.92981926118986,0
absolute,XJ1505,HEAD,DISGUST-JOY,1,56.5191180403517,8.50305728690064,0
absolute,XJ1505,HEAD,DISGUST-SAD,1,45.7605215532761,5.87582665904635,0
absolute,XJ1505,HEAD,FEAR-JOY,1,42.9164119423939,3.57323802571078,0
absolute,XJ1505,HEAD,FEAR-SAD,1,32.1578154553183,0.946007397856487,0
absolute,XJ1505,HEAD,JOY-SAD,1,-10.7585964870756,-2.62723062785429,0
absolute,XJ1505,UPPER_LIMB_L,NEUTRAL-DISGUST,1,-74.856778677311,-5.9992142666445,0
absolute,XJ1505,UPPER_LIMB_L,NEUTRAL-FEAR,1,-54.8117564366911,-1.9304929143864,0
absolute,XJ1505,UPPER_LIMB_L,NEUTRAL-JOY,1,0.935832479172092,4.81528398242099,0
absolute,XJ1505,UPPER_LIMB_L,NEUTRAL-SAD,1,8.91330774269181,0.943439460618723,0
absolute,XJ1505,UPPER_LIMB_L,DISGUST-FEAR,1,20.0450222406199,4.0687213522581,0
absolute,XJ1505,UPPER_LIMB_L,DISGUST-JOY,1,75.7926111564831,10.8144982490655,0
absolute,XJ1505,UPPER_LIMB_L,DISGUST-SAD,1,83.7700864200028,6.94265372726322,0
absolute,XJ1505,UPPER_LIMB_L,FEAR-JOY,1,55.7475889158632,6.74577689680738,0
absolute,XJ1505,UPPER_LIMB_L,FEAR-SAD,1,63.7250641793829,2.87393237500512,0
