normalization,markerGroup,pairLabel,method,nIncluded,nTotal,flipFraction
absolute,LTORSO,JOY-SAD,deadzone,25,27,0.32
absolute,LTORSO,JOY-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,UTORSO,NEUTRAL-DISGUST,reference,27,27,0.296296296296296
baseline-normalized,UTORSO,NEUTRAL-DISGUST,deadzone,25,27,0.28
baseline-normalized,UTORSO,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,UTORSO,NEUTRAL-JOY,reference,27,27,0.259259259259259
baseline-normalized,UTORSO,NEUTRAL-JOY,deadzone,24,27,0.25
baseline-normalized,UTORSO,NEUTRAL-JOY,bootstrap_ci,27,27,0.259259259259259
baseline-normalized,UTORSO,NEUTRAL-SAD,reference,27,27,0.296296296296296
baseline-normalized,UTORSO,NEUTRAL-SAD,deadzone,25,27,0.28
baseline-normalized,UTORSO,NEUTRAL-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,UTORSO,DISGUST-JOY,reference,27,27,0.111111111111111
baseline-normalized,UTORSO,DISGUST-JOY,deadzone,26,27,0.115384615384615
baseline-normalized,UTORSO,DISGUST-JOY,bootstrap_ci,27,27,0.111111111111111
baseline-normalized,UTORSO,DISGUST-SAD,reference,27,27,0.333333333333333
baseline-normalized,UTORSO,DISGUST-SAD,deadzone,27,27,0.333333333333333
baseline-normalized,UTORSO,DISGUST-SAD,bootstrap_ci,27,27,0.333333333333333
baseline-normalized,UTORSO,JOY-SAD,reference,27,27,0.296296296296296
baseline-normalized,UTORSO,JOY-SAD,deadzone,23,27,0.217391304347826
baseline-normalized,UTORSO,JOY-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,HEAD,NEUTRAL-DISGUST,reference,27,27,0.222222222222222
baseline-normalized,HEAD,NEUTRAL-DISGUST,deadzone,25,27,0.2
baseline-normalized,HEAD,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,HEAD,NEUTRAL-JOY,reference,27,27,0.259259259259259
baseline-normalized,HEAD,NEUTRAL-JOY,deadzone,25,27,0.24
baseline-normalized,HEAD,NEUTRAL-JOY,bootstrap_ci,27,27,0.259259259259259
baseline-normalized,HEAD,NEUTRAL-SAD,reference,27,27,0.222222222222222
baseline-normalized,HEAD,NEUTRAL-SAD,deadzone,19,27,0.157894736842105
baseline-normalized,HEAD,NEUTRAL-SAD,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,HEAD,DISGUST-JOY,reference,27,27,0.185185185185185
baseline-normalized,HEAD,DISGUST-JOY,deadzone,25,27,0.16
baseline-normalized,HEAD,DISGUST-JOY,bootstrap_ci,27,27,0.185185185185185
baseline-normalized,HEAD,DISGUST-SAD,reference,27,27,0.185185185185185
baseline-normalized,HEAD,DISGUST-SAD,deadzone,25,27,0.2
baseline-normalized,HEAD,DISGUST-SAD,bootstrap_ci,27,27,0.185185185185185
baseline-normalized,HEAD,JOY-SAD,reference,27,27,0.296296296296296
baseline-normalized,HEAD,JOY-SAD,deadzone,24,27,0.25
baseline-normalized,HEAD,JOY-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,UPPER_LIMB_L,NEUTRAL-DISGUST,reference,27,27,0.296296296296296
baseline-normalized,UPPER_LIMB_L,NEUTRAL-DISGUST,deadzone,26,27,0.269230769230769
baseline-normalized,UPPER_LIMB_L,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,UPPER_LIMB_L,NEUTRAL-JOY,reference,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_L,NEUTRAL-JOY,deadzone,25,27,0.2
baseline-normalized,UPPER_LIMB_L,NEUTRAL-JOY,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_L,NEUTRAL-SAD,reference,27,27,0.259259259259259
baseline-normalized,UPPER_LIMB_L,NEUTRAL-SAD,deadzone,26,27,0.269230769230769
baseline-normalized,UPPER_LIMB_L,NEUTRAL-SAD,bootstrap_ci,26,27,0.269230769230769
baseline-normalized,UPPER_LIMB_L,DISGUST-JOY,reference,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_L,DISGUST-JOY,deadzone,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_L,DISGUST-JOY,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_L,DISGUST-SAD,reference,27,27,0.333333333333333
baseline-normalized,UPPER_LIMB_L,DISGUST-SAD,deadzone,27,27,0.333333333333333
baseline-normalized,UPPER_LIMB_L,DISGUST-SAD,bootstrap_ci,27,27,0.333333333333333
baseline-normalized,UPPER_LIMB_L,JOY-SAD,reference,27,27,0.259259259259259
baseline-normalized,UPPER_LIMB_L,JOY-SAD,deadzone,24,27,0.291666666666667
baseline-normalized,UPPER_LIMB_L,JOY-SAD,bootstrap_ci,26,27,0.269230769230769
baseline-normalized,UPPER_LIMB_R,NEUTRAL-DISGUST,reference,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_R,NEUTRAL-DISGUST,deadzone,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_R,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_R,NEUTRAL-JOY,reference,27,27,0.259259259259259
baseline-normalized,UPPER_LIMB_R,NEUTRAL-JOY,deadzone,26,27,0.269230769230769
baseline-normalized,UPPER_LIMB_R,NEUTRAL-JOY,bootstrap_ci,27,27,0.259259259259259
baseline-normalized,UPPER_LIMB_R,NEUTRAL-SAD,reference,27,27,0.333333333333333
baseline-normalized,UPPER_LIMB_R,NEUTRAL-SAD,deadzone,27,27,0.333333333333333
baseline-normalized,UPPER_LIMB_R,NEUTRAL-SAD,bootstrap_ci,27,27,0.333333333333333
baseline-normalized,UPPER_LIMB_R,DISGUST-JOY,reference,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_R,DISGUST-JOY,deadzone,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_R,DISGUST-JOY,bootstrap_ci,27,27,0.222222222222222
baseline-normalized,UPPER_LIMB_R,DISGUST-SAD,reference,27,27,0.296296296296296
baseline-normalized,UPPER_LIMB_R,DISGUST-SAD,deadzone,26,27,0.269230769230769
baseline-normalized,UPPER_LIMB_R,DISGUST-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,UPPER_LIMB_R,JOY-SAD,reference,27,27,0.259259259259259
baseline-normalized,UPPER_LIMB_R,JOY-SAD,deadzone,26,27,0.269230769230769
baseline-normalized,UPPER_LIMB_R,JOY-SAD,bootstrap_ci,27,27,0.259259259259259
baseline-normalized,WRIST_L,NEUTRAL-DISGUST,reference,27,27,0.296296296296296
baseline-normalized,WRIST_L,NEUTRAL-DISGUST,deadzone,25,27,0.32
baseline-normalized,WRIST_L,NEUTRAL-DISGUST,bootstrap_ci,26,27,0.307692307692308
baseline-normalized,WRIST_L,NEUTRAL-JOY,reference,27,27,0.222222222222222
baseline-normalized,WRIST_L,NEUTRAL-JOY,deadzone,26,27,0.192307692307692
baseline-normalized,WRIST_L,NEUTRAL-JOY,bootstrap_ci,26,27,0.192307692307692
baseline-normalized,WRIST_L,NEUTRAL-SAD,reference,27,27,0.296296296296296
baseline-normalized,WRIST_L,NEUTRAL-SAD,deadzone,27,27,0.296296296296296
baseline-normalized,WRIST_L,NEUTRAL-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,WRIST_L,DISGUST-JOY,reference,27,27,0.296296296296296
baseline-normalized,WRIST_L,DISGUST-JOY,deadzone,27,27,0.296296296296296
baseline-normalized,WRIST_L,DISGUST-JOY,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,WRIST_L,DISGUST-SAD,reference,27,27,0.296296296296296
baseline-normalized,WRIST_L,DISGUST-SAD,deadzone,27,27,0.296296296296296
baseline-normalized,WRIST_L,DISGUST-SAD,bootstrap_ci,27,27,0.296296296296296
baseline-normalized,WRIST_L,JOY-SAD,reference,27,27,0.37037037037037
baseline-normalized,WRIST_L,JOY-SAD,deadzone,24,27,0.291666666666667
baseline-normalized,WRIST_L,JOY-SAD,bootstrap_ci,27,27,0.37037037037037
baseline-normalized,WRIST_R,NEUTRAL-DISGUST,reference,27,27,0.185185185185185
baseline-normalized,WRIST_R,NEUTRAL-DISGUST,deadzone,27,27,0.185185185185185
baseline-normalized,WRIST_R,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.185185185185185
baseline-normalized,WRIST_R,NEUTRAL-JOY,reference,27,27,0.259259259259259
baseline-normalized,WRIST_R,NEUTRAL-JOY,deadzone,26,27,0.269230769230769
baseline-normalized,WRIST_R,NEUTRAL-JOY,bootstrap_ci,27,27,0.259259259259259
baseline-normalized,WRIST_R,NEUTRAL-SAD,reference,27,27,0.296296296296296
