normalization,subjectID,markerGroup,pairLabel,deltaFull,ciFullLow,ciFullHigh,deltaMicro,ciMicroLow,ciMicroHigh,okFull,okMicro,includeCI
absolute,XB0300,LTORSO,JOY-SAD,30.0444372138981,28.2125294598674,33.0138307574097,-2.97746956263147,-3.40820829116286,-2.51914440619216,1,1,1
absolute,XC3002,UTORSO,NEUTRAL-DISGUST,4.76766988011117,3.56109910639864,5.60935568815899,-0.661187264421297,-1.10578399709268,-0.188843511406411,1,1,1
absolute,XC3002,UTORSO,NEUTRAL-JOY,-11.6485751595547,-12.5377039424377,-11.0426263596181,-3.65561133422925,-3.91289238502547,-3.43237688423259,1,1,1
absolute,XC3002,UTORSO,NEUTRAL-SAD,-10.2178896864755,-11.5725785227658,-9.30987113599376,-3.97351922517192,-4.2854587692767,-3.81650216710365,1,1,1
absolute,XC3002,UTORSO,DISGUST-JOY,-16.4162450396659,-17.196410700876,-15.6025005815025,-2.99442406980795,-3.21555793605885,-2.63973645096833,1,1,1
absolute,XC3002,UTORSO,DISGUST-SAD,-14.9855595665867,-16.4693853297674,-13.8043073008068,-3.31233196075062,-3.64504573130574,-2.95998304055521,1,1,1
absolute,XC3002,UTORSO,JOY-SAD,1.43068547307917,0.767080165733564,2.24797736572589,-0.317907890942667,-0.585365323992015,0.0402419100731439,1,1,1
absolute,XC3002,HEAD,NEUTRAL-DISGUST,1.04428796632395,-0.0138283841278088,2.76836555883111,-0.874041814785883,-1.46986392271023,-0.504466119013418,1,1,1
absolute,XC3002,HEAD,NEUTRAL-JOY,6.19258463698628,3.78426315875086,8.02418119687658,-4.61797554843767,-5.33261677181876,-4.11242737629577,1,1,1
absolute,XC3002,HEAD,NEUTRAL-SAD,-12.3860916892641,-13.6761999988467,-10.2260833715105,-3.47092476270968,-3.98585558244758,-2.8176780235307,1,1,1
absolute,XC3002,HEAD,DISGUST-JOY,5.14829667066233,3.78088190026502,7.22248798836707,-3.74393373365178,-4.28570934214914,-3.07648022714528,1,1,1
absolute,XC3002,HEAD,DISGUST-SAD,-13.4303796555881,-14.789622461124,-12.1044609630879,-2.59688294792379,-3.0410821831277,-2.13996974919105,1,1,1
absolute,XC3002,HEAD,JOY-SAD,-18.5786763262504,-20.1694638809464,-16.6340079773791,1.14705078572799,0.632790233197036,1.55133613890437,1,1,1
absolute,XC3002,UPPER_LIMB_L,NEUTRAL-DISGUST,6.67231204203019,3.97049316123164,9.07432917543038,-1.58492829363771,-2.47637176134868,-0.577825679869733,1,1,1
absolute,XC3002,UPPER_LIMB_L,NEUTRAL-JOY,-27.5361103907351,-29.1395313351295,-25.6571525423317,-2.2331282114346,-2.82412849195409,-1.69263386810796,1,1,1
absolute,XC3002,UPPER_LIMB_L,NEUTRAL-SAD,-22.8201907956541,-25.2605198370673,-21.4473409958535,-1.86828523373136,-2.33796752879702,-1.46719135685823,1,1,1
