participantID,seq,exp,clipDynamicMedian,clipSelectedFrac,clipCandidateSamples,valence,dominance,arousal,liking,familiarity
03-9U4C,28,33,24.3642096936095,0.946977205153617,6054,5.8,5.7,5.7,5,2
03-9U4C,29,3,23.4838275464388,0.998393691588785,6848,2.9,5,2.1,1,3
03-9U4C,30,19,22.5892983449357,0.973708629755645,6466,2,5,1.1,1,1
03-9U4C,31,18,22.00723890273,0.962199312714777,6402,1.1,5,1,1,1
03-9U4C,32,10,24.2400630304456,0.918040435458787,6430,6.6,6.8,7,9,1
03-9U4C,33,22,24.1176376870101,0.962604087812263,6605,6.2,5,3.1,5,1
03-9U4C,34,27,23.4231488559491,0.937158895992515,6413,4,5,2.9,1,1
03-9U4C,35,4,24.2881572488959,0.970835242021683,6549,5,5,2,1,1
03-9U4C,36,30,22.1207588249359,0.887548337200309,6465,4.4,5,4.8,1,1
03-9U4C,37,37,24.1459447832404,0.955774339740584,6399,1.7,3.7,3.1,1,1
03-9U4C,38,5,24.3232879128792,0.84070932922128,6485,1.6,5,4.4,1,1
04-9U66,1,17,22.2106444403371,1,6195,4,6.6,3,6.7,1
04-9U66,2,2,20.030175989152,1,6422,8.7,3.1,7.7,8.5,5
04-9U66,3,12,19.6079569870806,1,6473,5.2,8.7,2.7,2.6,1
04-9U66,4,23,18.6161186937619,1,6513,1.6,2.5,5.7,1,1
04-9U66,5,30,18.3419522223185,1,6524,2.8,5.3,6.5,7,3
04-9U66,6,40,19.3507923214762,1,6710,6.5,4.2,7.6,5.6,1
04-9U66,7,22,18.3698628936328,1,6628,5.5,6.3,2.6,6,1
04-9U66,8,19,18.4964785603008,1,6473,8.2,3.2,7.5,6.5,3
04-9U66,9,25,18.8274389863558,1,6550,2.6,4.2,1.7,4.1,1
04-9U66,10,1,19.2564264201112,1,6480,7.8,5.3,7.3,7.1,4
04-9U66,11,3,19.1259130920333,1,6855,8.3,2,8.2,8.4,3
04-9U66,12,4,20.2281353832872,1,6552,8.5,4.6,6.8,7.6,2
04-9U66,13,18,18.2267593265914,1,6479,8.6,4.1,3.4,7.8,2
04-9U66,14,14,18.6191762808226,1,6426,8.5,2.5,4.3,8.5,4
04-9U66,15,11,18.3992781603236,0.992264851485149,6464,9,1.5,8.7,9,1
04-9U66,16,28,19.3301891448604,1,6463,2.3,3.7,3.6,6.6,1
04-9U66,17,5,18.4440848641963,1,6520,8.3,3.4,8.8,8.6,4
04-9U66,18,31,18.5671288227975,1,6380,3.7,3.1,7.6,2.2,1
04-9U66,19,9,18.5548611446675,1,6449,8.8,3.1,7.4,8.5,3
