participantID,seq,exp,nSamples,medianVal,maxVal
03-9U4C,34,27,500,24.3583676857777,28.2907510947076
03-9U4C,35,4,500,22.5653455910258,35.0507779465568
03-9U4C,36,30,500,22.044713418834,25.9723348005793
03-9U4C,37,37,500,24.8351206852421,37.3695867642586
03-9U4C,38,5,500,20.7751279620523,27.1153887710237
04-9U66,1,17,500,20.4534190354509,27.8138780254605
04-9U66,2,2,500,21.4611454167502,27.0270716439433
04-9U66,3,12,500,19.7194106436854,32.2564191557821
04-9U66,4,23,500,18.4178305032306,31.5209503732564
04-9U66,5,30,500,18.1155363657701,34.3999785273243
04-9U66,6,40,500,17.9005933319966,20.5934900280628
04-9U66,7,22,500,18.2329949529235,21.6736186212375
04-9U66,8,19,500,19.7121937598891,24.3267982171165
04-9U66,9,25,500,17.6362872088123,22.8971607174101
04-9U66,10,1,500,20.885804431093,34.3304065825539
04-9U66,11,3,500,19.6340661341126,32.8336280095899
04-9U66,12,4,500,19.2771082075562,34.2839468520207
04-9U66,13,18,500,17.7633247200774,31.3071236943204
04-9U66,14,14,500,19.7237382404261,24.863755704146
04-9U66,15,11,500,17.8926409038414,20.9225679654761
04-9U66,16,28,500,20.6114496249967,24.3501871257179
04-9U66,17,5,500,19.6442129406944,31.699234657778
04-9U66,18,31,500,18.4332793758211,24.9597286498145
04-9U66,19,9,500,18.5732593704232,24.3782241955988
04-9U66,20,10,500,21.5511417362321,37.0913101213498
04-9U66,21,32,500,19.9718294400089,23.3988333206334
04-9U66,22,15,500,19.9647037685439,22.4020420534347
04-9U66,23,27,500,19.4285916445441,24.8889272455191
04-9U66,24,29,500,18.3419522223185,22.9269747413896
04-9U66,25,34,500,19.2312757533942,24.2118659720099
04-9U66,26,33,500,18.2782187507589,34.7260831881677
04-9U66,27,6,500,19.3845923573571,22.061491731075
04-9U66,28,8,500,20.3165866211747,25.9657586934222
04-9U66,29,20,500,19.8359676460636,23.449866823614
04-9U66,30,37,500,20.5353592190998,23.8709034467847
