participantID,seq,exp,clipDurationSec,front_clip_motion_median,front_clip_motion_n,front_clip_motion_frac,e4_eda_mean,e4_eda_std,e4_eda_n,e4_hr_mean,e4_hr_std,e4_hr_n,e4_skt_mean,e4_skt_std,e4_skt_n,e4_bvp_std,e4_bvp_n,e4_ibi_mean,e4_ibi_sdnn,e4_ibi_rmssd,e4_ibi_n,bh3_rr_mean,bh3_rr_sdnn,bh3_rr_rmssd,bh3_rr_n,bh3_hr_mean,bh3_hr_std,bh3_hr_n,bh3_br_mean,bh3_br_std,bh3_br_n,bh3_bb_mean,bh3_bb_std,bh3_bb_n,bh3_rsp_std,bh3_rsp_n,bh3_hr_conf_mean,bh3_hr_conf_std,bh3_hr_conf_n,valence
02-9TZO,11,5,65.0280001163483,12.42419438276,5815,0.992320819112628,0.842791596153846,0.0144303984921841,260,78.2803076923077,3.75881088628387,65,31.846923076923,0.0145907440828027,260,34.5527903240441,4167,0.86640625,0.0395938438506372,0.0331144050852879,60,859.44,44.3344902646577,31.2301829057136,75,70,3.06186217847897,65,22.8769230769231,3.47089547301779,65,2761.73913043478,1053.16687866088,23,1727.72691142597,1626,98.4615384615385,2.98473681354887,65,6.8
02-9TZO,12,6,64.9900000095367,11.7050019524591,5815,1,0.914296103846155,0.0198429393311086,260,91.566,12.4715715228675,65,31.8358461538461,0.0152094572989185,260,42.1510685026472,4165,0.854586693548387,0.0498612243635843,0.0343610254754033,62,848.194805194805,49.3497290988776,28.6817840596101,77,70.9230769230769,3.81734402230339,65,18.7846153846154,1.66294456172917,65,2700,977.094183524936,24,2150.7641111531,1625,99.5846153846154,0.899519102290005,65,6.9
02-9TZO,13,18,64.1909999847412,11.7999529165786,5756,0.993098688750863,0.855789712062257,0.0260442081240224,257,70.6518461538462,2.00671209032625,65,31.8041634241245,0.0165412760459877,257,39.2640362508679,4113,0.866727941176471,0.0774567004278937,0.0507752400289748,51,859.293333333333,68.7024082612895,28.6469657843313,75,69.9375,5.49422496231342,64,19.9375,3.06477685041785,64,2545,946.191450431447,24,3338.35009321717,1605,98.96875,2.05456325255032,64,7.5
02-9TZO,14,25,65.4879999160767,10.8062365083662,5921,1,0.87663811026616,0.0216499224494673,263,74.8855384615385,3.27867590974678,65,31.8577566539924,0.0152556366576495,263,27.8898929595433,4196,0.902573529411765,0.0566989267979906,0.0435295619228362,68,908.041095890411,52.735302943665,35.9936336963451,73,66.4615384615385,3.36840523781713,65,23.0307692307692,4.42990275982876,65,3282,787.103952206408,20,1730.27080761301,1637,99.0461538461538,1.87442298813836,65,7.2
02-9TZO,15,38,59.9760000705719,11.0483784632256,5361,1,0.994274458333334,0.0127972121211446,240,76.2658333333333,2.42195277121349,60,31.8566666666666,0.0166345576337595,240,9.98408744813412,3843,0.874730603448276,0.0583527668211379,0.0833504642479625,58,878.367647058824,30.1894042951243,28.6442409100579,68,68.4166666666667,1.933571970466,60,21.2333333333333,3.97179320243865,60,3112,606.713319972109,20,1037.4494474348,1499,99.05,1.83584830066399,60,2.1
02-9TZO,16,4,65.2420001029968,10.5934751673395,5794,0.990766073871409,1.01811603065134,0.0138615741985027,261,75.5962121212121,4.60303637752016,66,31.8349808429118,0.0175767442743759,261,68.7815895439276,4180,0.905381944444444,0.0447552003452141,0.0458817729306982,54,901.232876712329,41.8208881049574,34.7147102985335,73,66.9384615384615,2.7606437376369,65,19.0769230769231,0.594445442925913,65,2763.47826086957,977.708864900963,23,1850.17246809971,1631,99.3538461538461,1.32795389169261,65,7.1
02-9TZO,17,29,65.3340001106262,11.2642726522327,5935,1,1.0816043908046,0.0210957617555443,261,71.5235384615385,1.26462868904428,65,31.8847892720307,0.0132597438717698,261,40.4435049319681,4187,0.883362676056338,0.0373351086381456,0.0398360899499436,71,883.891891891892,34.1918710068206,31.1854813426912,74,68.0923076923077,1.99783536705259,65,20.6153846153846,3.55621071020611,65,3568.88888888889,789.049233451537,18,906.010100004595,1634,99.8923076923077,0.312403831356393,65,3.3
02-9TZO,18,12,64.7639999389648,11.5897464261399,5863,1,1.04469707692308,0.0341464977704352,260,73.8392307692308,2.38458743004706,65,31.913076923077,0.0185099849437953,260,49.0524882053244,4150,0.878771551724138,0.0762275245058289,0.059336032919564,58,870.756756756757,73.5299418671137,39.7767743893584,74,69.3076923076923,5.49978146418984,65,18.7076923076923,3.45381617256132,65,2643.33333333333,729.971212456007,24,2427.5458510821,1619,94.9538461538462,9.51549849132779,65,7
02-9TZO,19,26,62.2249999046326,11.7342630485655,5549,0.993376297887576,1.15100514056225,0.0430786980551799,249,71.3748387096774,1.24916069125447,62,31.9205220883534,0.0138004395257925,249,60.43167879855,3988,0.856831395348837,0.0449674144894254,0.0382732772309872,43,850.712328767123,39.9108309763621,28.3453405930028,73,70.8225806451613,3.31179805330107,62,20.5483870967742,2.62195909332009,62,3263.15789473684,1291.70452689279,19,1741.60366239943,1556,98.1290322580645,3.5180279077344,62,3.6
02-9TZO,20,1,64.5199999809265,10.2943055750608,5819,1,1.61944491860465,0.0419963901689065,258,73.0509230769231,5.64776801131344,65,31.9687596899225,0.0182506436936949,258,44.477705274604,4135,0.947021484375,0.0394320011617316,0.0454051973285487,64,950.573529411765,40.1550413840076,40.2269680093328,68,63.78125,2.90849194546339,64,17.59375,1.00346621489936,64,2854.54545454545,1482.72826805289,22,1499.21754099229,1613,99.640625,0.784111821876414,64,6.6
