participantID,seq,exp,clipDynamicMedian,preDynamicMedian,clipMinusPre,clipOverPre,logClipOverPre,clipSelectedFrac,preSelectedFrac,valence,dominance,arousal,liking,familiarity
16-9USC,27,28,23.2817652525139,23.5431394134044,-0.261374160890544,0.988898075303342,-0.0111640110086808,0.927740734997674,1,4.5,4.5,4.2,7.7,1
16-9USC,28,20,24.4935378479371,23.2193273018422,1.2742105460949,1.05487715167329,0.0534243162363354,0.918325756388149,1,8,7.3,6.4,9,5
16-9USC,29,7,22.7675154727261,21.8514886164493,0.916026856276826,1.04192056991427,0.041065711936456,0.972994190610771,1,7.7,7.2,7.1,7.4,5
16-9USC,30,40,24.3758890048089,21.9450708237657,2.43081818104324,1.11076829965893,0.105051937745593,0.887943897344076,1,4.6,5.8,4.6,1.1,1
16-9USC,31,13,24.098747817116,22.39441741225,1.70433040486598,1.07610514591613,0.0733481762182851,0.949733792671469,1,6.2,5.8,4.1,6.5,1
16-9USC,32,38,23.9161699344176,22.7349874059292,1.18118252848841,1.05195439554897,0.050649763137244,0.932920709267314,1,3.1,3.8,5.6,1,1
16-9USC,33,8,24.0798431287253,22.3269529700536,1.75289015867169,1.07851004841649,0.0755805038333358,0.987908851340877,1,6.8,5.4,4.4,6.5,4
16-9USC,34,3,29.6264708944762,24.9403353354156,4.68613555906057,1.18789384729748,0.172181862821437,0.692577440093513,1,8.1,7.3,6.1,8.5,5
16-9USC,35,34,24.7857911394306,23.8935407290546,0.892250410376004,1.03734274549318,0.036662391025747,0.888972243060765,1,4.6,5,5,3,1
16-9USC,36,9,24.0585575980556,22.6346129307885,1.4239446672671,1.06291005159316,0.0610104782754647,0.937636080870918,1,7.9,6.8,5.9,9,5
16-9USC,37,10,23.7489720494119,19.125912860448,4.6230591889639,1.24171704758335,0.216495137575173,0.958184361884035,1,4.3,5.7,5,4,1
16-9USC,38,18,23.4158568465816,23.9030752635601,-0.487218416978514,0.97961691491131,-0.0205936868917978,0.984699453551913,0.9,3.6,1.8,2.2,8.9,4
17-9UTL,1,30,23.6721454120239,18.7000201122026,4.97212529982133,1.265888767498,0.235774458485959,1,1,3,4.7,1.4,5,1
17-9UTL,2,7,23.9993320697897,24.2459284874247,-0.246596417635036,0.9898293679385,-0.0102227063261145,1,1,4.9,9,1,1,1
17-9UTL,3,10,24.249454763859,24.136479472524,0.112975291334987,1.00468068640514,0.00466976605575701,0.967225846536191,1,5,9,2.9,1,1
17-9UTL,4,21,23.8685186220176,23.5322573491479,0.336261272869677,1.01428937597786,0.0141882451044544,0.99256837098692,1,3,6.7,1,1,1
17-9UTL,5,31,23.7920780137813,22.6886200397777,1.10345797400362,1.04863486505874,0.0474891897536028,1,1,1,2.6,5,1,1
