participantID,seq,exp,baselineDynamicMedian,clipDynamicMedian,preDynamicMedian,walkDynamicMedian,walkRawMedian,clipMinusBaseline,clipOverBaseline,logClipOverBaseline,clipMinusPre,clipOverPre,logClipOverPre,baselineSelectedFrac,clipSelectedFrac,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
02-9TZO,27,32,15.904163739173,10.7337615166662,9.17341349506906,226.838809399717,983.288352853375,-5.17040222250675,0.674902603663988,-0.393186889388702,1.56034802159716,1.17009459155372,0.157084593023496,1,1,1,0.941950464396285,4.4,4.6,5.5,4.3,1
02-9TZO,28,37,19.2720642192072,10.2781026260537,9.99883831636294,239.862253013919,979.465921942032,-8.9939615931535,0.533316125825806,-0.628640924019485,0.279264309690797,1.02792967551378,0.0275467556596837,1,1,1,0.913392857142857,2.4,6.3,6.3,1.4,1
02-9TZO,29,20,21.6918268833068,9.52826735497481,10.1561270125523,244.980898039093,983.395647743064,-12.163559528332,0.439256103519219,-0.822672656691676,-0.627859657577483,0.938179223556235,-0.063814278338063,1,0.984342012667136,1,0.939991779695849,7.3,6.4,3.5,7.8,1
02-9TZO,30,23,17.7386754314015,11.5532141258936,9.0160350980289,227.369183168136,981.321557900365,-6.18546130550783,0.651300835317266,-0.428783630892195,2.53717902786473,1.28140740361796,0.247959007963204,0.919821826280624,1,1,0.956867196367764,3.2,4.7,5.4,3.5,1
02-9TZO,31,2,15.7289574718799,10.3385128758854,10.3267329755189,237.504733450263,980.46800033987,-5.39044459599449,0.657291679653182,-0.419627402163054,0.0117799003664896,1.0011407189858,0.00114006886026059,1,1,1,0.955634079308991,6.1,6,5.8,7.8,5
02-9TZO,32,22,13.2725127974923,10.6748074995063,10.3207887780524,240.975688692748,984.040139102165,-2.597705297986,0.804279314880237,-0.2178086635674,0.354018721453903,1.03430151794277,0.0337263370044985,1,0.970473443068047,1,0.926536731634183,7,6.3,1.8,7.4,1
02-9TZO,33,10,16.2479524739568,10.9138499579089,10.0078755306913,243.796846295986,979.540196817804,-5.33410251604792,0.671706171925495,-0.397934278236578,0.905974427217568,1.09052614857561,0.0866602848916533,0.870824053452116,1,1,0.948004836759371,3.5,6.2,5.8,3,1
02-9TZO,34,36,12.5613437479106,9.9887057431683,9.08422986957245,233.04520023473,986.224619440595,-2.57263800474226,0.795194044811472,-0.229169112586989,0.904475873595844,1.09956549829561,0.0949151002212176,1,1,1,0.959715639810427,2,6.4,6.1,1,1
02-9TZO,35,30,13.6092288948019,9.61249187198397,11.3504545956194,240.251700926299,988.084004525931,-3.99673702281794,0.706321566511053,-0.347684668542344,-1.73796272363548,0.846881663725943,-0.166194306338749,1,1,1,0.971996753246753,3.3,5.8,2.9,2.7,4
02-9TZO,36,8,22.4336957960722,10.7766580430101,8.98775822882425,243.917306755828,981.385446114141,-11.6570377530621,0.480378183825465,-0.733181602327337,1.78889981418587,1.19903737602206,0.18151904822179,0.82,0.988422325902886,1,0.94935691318328,7,6,3.9,7.4,5
02-9TZO,37,3,22.3197833159896,11.5540888721871,9.45705337751382,249.702891069444,978.147709089389,-10.7656944438025,0.517661336967816,-0.658434040173719,2.09703549467329,1.22174301137598,0.200278536976592,0.920529801324503,0.996932020022606,1,0.960752248569092,6.6,5.6,5.9,7.9,3
02-9TZO,38,7,16.6820535034182,10.4837536650329,11.1005858191385,252.716056178679,978.34043154722,-6.19829983838534,0.628445033034136,-0.464506712160487,-0.616832154105561,0.944432468325943,-0.0571710945164081,1,1,1,0.908167770419426,7.9,6.1,5.9,8.3,5
04-9U66,1,17,11.0761889102922,13.3616366263019,12.1287724839923,232.403239903607,1004.88606228216,2.28544771600978,1.20633881694507,0.187590001588493,1.23286414230961,1.10164789090873,0.0968071414422506,1,1,1,0.733333333333333,4,6.6,3,6.7,1
04-9U66,2,2,20.492695972841,13.3128862513957,16.4676263131252,238.200222997379,1013.97287904547,-7.17980972144533,0.64964054846855,-0.431336071410729,-3.15474006172957,0.808427759912482,-0.212663954714591,1,1,1,0.799835593916975,8.7,3.1,7.7,8.5,5
04-9U66,3,12,20.8403828748825,11.7215571431345,10.3171663536374,213.68294269782,1005.72212862202,-9.11882573174806,0.562444424054304,-0.575462951466008,1.40439078949709,1.13612175488495,0.127620493151652,1,1,1,0.813836477987421,5.2,8.7,2.7,2.6,1
04-9U66,4,23,19.4822996589212,12.7137720602503,9.46137624529414,215.442211789421,1014.0039444159,-6.76852759867092,0.652580664645945,-0.426820523447643,3.25239581495611,1.34375504478788,0.29546796714754,1,1,1,0.801189149015236,1.6,2.5,5.7,1,1
04-9U66,5,30,16.4389542088552,10.8833745805044,9.76560591174605,222.372119672937,1010.05321641468,-5.5555796283508,0.662047867658262,-0.412417418018321,1.11776866875833,1.11445973540811,0.10836974524868,1,1,1,0.736583367472347,2.8,5.3,6.5,7,3
04-9U66,6,40,14.029464792106,12.3743567866113,10.5967395565812,210.343206006179,1007.90621338651,-1.65510800549468,0.882026290380944,-0.125533415731441,1.77761723003008,1.16775133714842,0.15507996546337,1,1,1,0.813229571984436,6.5,4.2,7.6,5.6,1
04-9U66,7,22,15.5098956394006,11.6333361291829,10.213428296323,213.904369219809,1010.25071044231,-3.87655951021776,0.750058955885562,-0.2876034676938,1.41990783285986,1.13902362572723,0.13017142676724,1,1,1,0.704246523863209,5.5,6.3,2.6,6,1
04-9U66,8,19,17.9180268521539,11.2467337299746,11.5356729580404,213.099043528921,1008.03620966709,-6.6712931221793,0.627677021737618,-0.465729541405945,-0.288939228065775,0.974952546841718,-0.0253664790746381,1,1,1,0.819638455217749,8.2,3.2,7.5,6.5,3
04-9U66,9,25,21.7886640791248,11.4673961600627,8.89769653888897,213.30386867602,1013.56055566503,-10.3212679190621,0.526301021412752,-0.641881945881836,2.56969962117372,1.28880504183778,0.253715464913465,1,1,1,0.850727117194183,2.6,4.2,1.7,4.1,1
04-9U66,10,1,19.6108912824489,11.0804013324856,8.96279893258141,208.28334584614,1006.25543476793,-8.5304899499633,0.565012633689025,-0.57090718757414,2.11760239990418,1.23626574866098,0.212095342932071,1,1,1,0.841140529531568,7.8,5.3,7.3,7.1,4
04-9U66,11,3,16.7306692668777,10.3776532161424,9.83208034556109,220.432074736986,1015.39296784073,-6.35301605073538,0.620277231627986,-0.477588753096706,0.545572870581267,1.05548905739237,0.0540042210259455,1,1,1,0.795824634655532,8.3,2,8.2,8.4,3
04-9U66,12,4,15.5559080254717,10.5182940538816,10.504938147852,221.476990297239,1010.38877681712,-5.03761397159007,0.676160725343623,-0.391324471815398,0.0133559060296324,1.00127139311452,0.001270585578685,1,1,1,0.767019027484144,8.5,4.6,6.8,7.6,2
04-9U66,13,18,17.6744186446978,11.3427181443409,9.51687870336809,214.147822314867,1007.78567884147,-6.33170050035687,0.641759051449404,-0.443542355007167,1.82583944097283,1.19185275949001,0.17550903709567,1,1,1,0.840851063829787,8.6,4.1,3.4,7.8,2
04-9U66,14,14,14.296605932055,11.187528069797,11.1666695871217,219.610519766601,1012.5482704543,-3.10907786225797,0.782530351816792,-0.245222569055803,0.0208584826753242,1.00186792333315,0.00186618093379893,1,1,1,0.830451286377056,8.5,2.5,4.3,8.5,4
