normalization,markerGroup,pairLabel,pooledDeltaFull,pooledDeltaMicro,pooledFlip,subjectMedianDeltaFull,subjectMedianDeltaMicro,subjectMedianFlip,pooledVsSubjectAgree,subjectFlipFraction,bootstrapFlipProbability,bootstrapQuadrantAgreeProbability,nSubjects
absolute,UPPER_LIMB_R,JOY-SAD,-5.90338583482175,-0.226117614387903,0,-6.7043194254384,-0.403079262737133,0,1,0.259259259259259,0.3235,0.498,27
absolute,WRIST_L,NEUTRAL-DISGUST,-27.380160067242,1.42032346872774,1,-13.9092786148131,-0.91237410109775,0,0,0.296296296296296,0.288,0.253,27
absolute,WRIST_L,NEUTRAL-JOY,-18.8730485955656,0.840950126048586,1,-18.1319823260604,-1.52629445449332,0,0,0.222222222222222,0.1915,0.093,27
absolute,WRIST_L,NEUTRAL-SAD,-23.1768319374927,-0.524933650325348,0,-28.6360091598642,-1.64484756747528,0,1,0.296296296296296,0.085,0.9145,27
absolute,WRIST_L,DISGUST-JOY,8.50711147167642,-0.579373342679158,1,11.1572269489928,0.626409176440479,0,0,0.296296296296296,0.297,0.1525,27
absolute,WRIST_L,DISGUST-SAD,4.20332812974934,-1.94525711905309,1,23.5708260417131,-0.507930265435512,1,1,0.296296296296296,0.5035,0.4945,27
absolute,WRIST_L,JOY-SAD,-4.30378334192709,-1.36588377637393,0,-2.49772562553397,-0.632185991994032,0,1,0.37037037037037,0.4055,0.4965,27
absolute,WRIST_R,NEUTRAL-DISGUST,-28.4726384077537,1.9020428579476,1,-16.1246617405751,-2.07704946732275,0,0,0.185185185185185,0.2525,0.249,27
absolute,WRIST_R,NEUTRAL-JOY,-15.7113589668758,0.492506852680478,1,-12.0678096618008,-0.746760044641213,0,0,0.259259259259259,0.252,0.1835,27
absolute,WRIST_R,NEUTRAL-SAD,-24.5488113857849,0.43140090521036,1,-24.8613354095533,-2.61138082283079,0,0,0.296296296296296,0.043,0.0405,27
absolute,WRIST_R,DISGUST-JOY,12.761279440878,-1.40953600526712,1,10.263059990834,-1.37881954269194,1,1,0.259259259259259,0.451,0.4265,27
absolute,WRIST_R,DISGUST-SAD,3.92382702196882,-1.47064195273724,1,16.783894801951,-0.693283089615665,1,1,0.296296296296296,0.4415,0.381,27
absolute,WRIST_R,JOY-SAD,-8.83745241890914,-0.0611059474701179,0,-7.883506002996,-0.463274636196344,0,1,0.222222222222222,0.3055,0.415,27
absolute,LTORSO,NEUTRAL-DISGUST,-22.8863653137373,1.39272577362188,1,-19.513507236155,1.25467125478178,1,1,0.259259259259259,0.7985,0.7985,27
absolute,LTORSO,NEUTRAL-JOY,-14.6593739368872,1.02469872470745,1,-11.4039691736407,-0.677827061352772,0,0,0.222222222222222,0.2585,0.2325,27
absolute,LTORSO,NEUTRAL-SAD,-16.1937009204284,0.1884303387458,1,-15.9115734822145,-1.55745940187749,0,0,0.296296296296296,0.092,0.08,27
absolute,LTORSO,DISGUST-JOY,8.22699137685012,-0.368027048914428,1,10.2057628497781,-1.01030003634862,1,1,0.111111111111111,0.4145,0.4145,27
absolute,LTORSO,DISGUST-SAD,6.6926643933089,-1.20429543487608,1,10.3135261920573,-1.71598061424263,1,1,0.296296296296296,0.872,0.872,27
absolute,LTORSO,JOY-SAD,-1.53432698354122,-0.836268385961649,0,-3.42513680127535,-0.879632340524722,0,1,0.296296296296296,0.3135,0.571,27
baseline-normalized,UTORSO,NEUTRAL-DISGUST,-2.82339583164224,0.324518822849043,1,-1.62165291482445,0.247135521655928,1,1,0.296296296296296,0.5205,0.5065,27
baseline-normalized,UTORSO,NEUTRAL-JOY,-1.80588871220431,0.0894328594394764,1,-1.53110790762089,-0.051469583449602,0,0,0.259259259259259,0.1625,0.1215,27
baseline-normalized,UTORSO,NEUTRAL-SAD,-2.29198238444534,0.0746529287244502,1,-1.7417906290752,-0.145191671724211,0,0,0.296296296296296,0.1585,0.1585,27
baseline-normalized,UTORSO,DISGUST-JOY,1.01750711943793,-0.235085963409567,1,0.42120875096918,-0.210146652446987,1,1,0.111111111111111,0.4175,0.4175,27
baseline-normalized,UTORSO,DISGUST-SAD,0.531413447196897,-0.249865894124593,1,2.4518144753625,-0.14470234406079,1,1,0.333333333333333,0.826,0.825,27
baseline-normalized,UTORSO,JOY-SAD,-0.486093672241031,-0.0147799307150263,0,-0.278943892902408,-0.0492919235986271,0,1,0.296296296296296,0.227,0.719,27
baseline-normalized,HEAD,NEUTRAL-DISGUST,-1.16543147851865,0.203961840987142,1,-0.232486599002092,0.10561493991435,1,1,0.222222222222222,0.5785,0.5765,27
baseline-normalized,HEAD,NEUTRAL-JOY,-0.457372386299928,-0.0266863741345498,0,-0.754866995906977,0.00963032037472411,1,0,0.259259259259259,0.4525,0.4065,27
baseline-normalized,HEAD,NEUTRAL-SAD,-1.62896961998934,0.0701924475302969,1,-1.46835790555832,-0.050577579819524,0,0,0.222222222222222,0.157,0.1565,27
baseline-normalized,HEAD,DISGUST-JOY,0.708059092218723,-0.230648215121692,1,0.283641056803202,-0.190864980383127,1,1,0.185185185185185,0.6265,0.6265,27
baseline-normalized,HEAD,DISGUST-SAD,-0.463538141470685,-0.133769393456845,0,-0.313466726478346,-0.16725412482407,0,1,0.185185185185185,0.3535,0.5775,27
baseline-normalized,HEAD,JOY-SAD,-1.17159723368941,0.0968788216648466,1,-0.65533937623098,0.00417956171328226,1,1,0.296296296296296,0.413,0.3505,27
baseline-normalized,UPPER_LIMB_L,NEUTRAL-DISGUST,-3.43108737702549,0.342008369455846,1,-1.28112173374776,0.0143719330263052,1,1,0.296296296296296,0.515,0.5075,27
baseline-normalized,UPPER_LIMB_L,NEUTRAL-JOY,-2.27453387789198,0.158853745001315,1,-2.23009955513674,-0.0657122673100901,0,0,0.222222222222222,0.3275,0.287,27
baseline-normalized,UPPER_LIMB_L,NEUTRAL-SAD,-2.96456928976078,0.0658058226134486,1,-2.94135844615489,-0.227777700952099,0,0,0.259259259259259,0.0395,0.039,27
baseline-normalized,UPPER_LIMB_L,DISGUST-JOY,1.15655349913351,-0.183154624454531,1,1.57336191710868,-0.076052664978802,1,1,0.222222222222222,0.3855,0.344,27
baseline-normalized,UPPER_LIMB_L,DISGUST-SAD,0.46651808726471,-0.276202546842398,1,3.09826499951365,-0.272085914871682,1,1,0.333333333333333,0.666,0.6615,27
baseline-normalized,UPPER_LIMB_L,JOY-SAD,-0.690035411868804,-0.0930479223878664,0,-0.136676961511791,-0.171437564173977,0,1,0.259259259259259,0.3355,0.4665,27
baseline-normalized,UPPER_LIMB_R,NEUTRAL-DISGUST,-3.709571317289,0.204317935412894,1,-4.18790855254745,-0.0364036047693537,0,0,0.222222222222222,0.392,0.3885,27
