normalization,markerGroup,emotion,regime,nSamples,medianValue
baseline-normalized,WRIST_L,DISGUST,micro,22228,3.08393007587195
baseline-normalized,WRIST_L,JOY,full,79893,11.9658921583827
baseline-normalized,WRIST_L,JOY,micro,19027,2.8833843913087
baseline-normalized,WRIST_L,SAD,full,78208,11.0139495060194
baseline-normalized,WRIST_L,SAD,micro,20932,2.77736464698833
baseline-normalized,WRIST_R,NEUTRAL,full,79893,14.507896641942
baseline-normalized,WRIST_R,NEUTRAL,micro,18159,2.75326408976778
baseline-normalized,WRIST_R,DISGUST,full,79982,10.3198767923465
baseline-normalized,WRIST_R,DISGUST,micro,22564,2.96439039263201
baseline-normalized,WRIST_R,JOY,full,79893,12.0781560340243
baseline-normalized,WRIST_R,JOY,micro,20083,2.6960315417143
baseline-normalized,WRIST_R,SAD,full,79893,10.6975997896958
baseline-normalized,WRIST_R,SAD,micro,22739,2.86027463279188
baseline-normalized,LTORSO,NEUTRAL,full,399108,12.3920508528333
baseline-normalized,LTORSO,NEUTRAL,micro,114532,3.00028637098967
baseline-normalized,LTORSO,DISGUST,full,389866,8.76045083289709
baseline-normalized,LTORSO,DISGUST,micro,140905,3.32800391944712
baseline-normalized,LTORSO,JOY,full,397531,10.044722906293
baseline-normalized,LTORSO,JOY,micro,132033,3.13660740267435
baseline-normalized,LTORSO,SAD,full,391878,9.69276913112944
baseline-normalized,LTORSO,SAD,micro,133924,3.13622925105516
